Name,flt,lds,alds,strpk,nrg,flu,entr,danc,bpm,ptch,mfcc1,mfcc2,mfcc3,mfcc4
Grupo Niche - Busca por dentro-8miFQyTSDic-recortado.wav,0.4675072685309322,-1.4098061586953725,0.6970877347132676,0.2844832152068831,-0.49240786123614405,-0.7653083756885078,0.641658568871478,0.5016973617664243,1.5043347380964307,-1.0429471414407983,0.605299151230568,0.4413400679371012,-0.9303675470063114,0.6175852544590201
Grupo Niche - Del Puente Pa' Alla [1985]-tSQE-D6yGcg-recortado.wav,0.49321730771186656,-0.17538019311698405,0.7402510485655266,0.5356139235537741,-1.105457648905762,-0.5730651311020012,0.5143070176883043,0.6375179324264115,-1.4687738228459695,1.1488979080977562,0.40584966027585057,0.722304245101259,-2.5062443820708573,0.427001478452089
Grupo Niche - Duele mas-D1Suxw-JHl8-recortado.wav,0.3833192888255633,0.4366598231639858,0.8746050718895613,0.5904842030637963,-1.0407586612746547,-0.4389822259594398,0.6290656012021145,0.6136929108858021,1.8367617531693574,-0.1898533062031971,0.5969876493981304,0.3418846935728054,-0.5229511553841414,0.505570633910943
Grupo Niche - Ruperto mena-jKDOFCrFB7E-recortado.wav,0.5573184789162603,0.051517043981049775,0.164417514176541,0.6500091519656601,-1.4871626331855492,-0.8645698901546113,0.4470403488448964,0.4795595785640362,-0.7077498638592497,1.230460774074505,0.2611159179347382,0.8635876901163697,-2.5062443820708573,1.0081553705636184
Grupo Niche - Un Caso Social-l9LtC0YNWj4-recortado.wav,0.5197513216727024,-0.29710755311269843,0.7542420332348022,0.6175367540080955,-1.1086830379732182,-0.6479367094965961,0.5538695932323814,0.5006042533101754,-1.636754498208035,-0.06805155672176022,0.5605296383179185,0.35913796903821793,-0.13828215093610072,0.7916929128300964
Grupo Niche Gotas De Lluvia-MjXU7I6aBpA-recortado.wav,0.4746017890443113,0.4676375121119115,0.8462290725248606,0.7031924496222398,-1.1872886804775669,-0.7612702769560984,0.590894682252049,0.42873470927516,-1.5164818893739493,0.3355979438669891,0.5209103985441645,0.3164055130040699,-0.5105480041385424,0.6764795938971261
Guaguanco del Adios + Letra - Roberto Roena-rsjr3gPYkH0-recortado.wav,0.7561290319972885,-0.28238757383686064,0.7917303417968491,0.5434187352922997,-0.05718965154357011,-0.42373389643796533,0.2515915450412551,0.5213465495986627,-1.544173894198877,-0.12898047334590515,0.299121554776836,0.9113920057784574,-1.5760274540092605,0.7204796084788341
GUAGUANCO DEL ADIOS - PAPO SANCHEZ-NJkD1SI5Z8E-recortado.wav,0.6748826845262332,-0.28123952271878483,0.7557913982141716,0.5105355723083603,-0.01815611571731716,-0.3830788952712891,0.2962358994664772,0.5258024253149984,-1.526651813837639,-0.14817331373285214,0.3693427997396792,0.7907684009382933,-0.8878435017806315,0.5371710008737312
Guayacan - Con Que Derecho--g42vjca1Pk-recortado.wav,0.6593475605183347,0.5439208581480452,0.7717379393095282,0.41405651520445974,0.7903374513973885,0.1503093298947843,0.45417748908848027,0.4496485140737961,1.7955861280469572,-0.4014860100290668,0.5211267752837359,0.4905538654912148,0.09518188562098227,0.3453711512050229
GUAYACAN ORQUESTA_EL DJ LA SALSA Y EL REGGAETON..-Ba_xLbdm4kw-recortado.wav,0.379784709588837,0.9480384790444275,0.8575698404256566,0.45628382288554775,-1.152347971587475,-0.4344668564058636,0.6270418189016681,0.7689703987935009,-1.7611506124844278,-0.3235759041716988,0.5394836305929143,0.3368564803194178,-0.5811024923026552,0.5891250427189643
